umls_code,mesh_code
C0018991,D006429
C0018995,D006432
C0019021,D006445
C0019025,D017086
C0019045,D006453
C0019050,D006457
C0019054,D006461
C0019061,D006463
C0019064,D010490
C0019068,D051359
C0019069,D006467
C0019080,D006470
C0019087,D006474
C0019100,D019595
C0019112,D006484
C0019147,D006501
C0019151,D006501
C0019154,D006502
C0019156,D006504
C0019158,D006505
C0019163,D006509
C0019187,D006519
C0019188,D006520
C0019189,D006521
C0019193,D056486
C0019196,D006526
C0019202,D006527
C0019207,D008114
C0019208,D008114
C0019209,D006529
C0019212,D006530
C0019243,D054179
C0019269,D012734
C0019284,D006548
C0019294,D006552
C0019295,D006552
C0019296,D006552
C0019337,D006556
C0019348,D006561
C0019372,D006566
C0019385,D020803
C0019489,D015319
C0019562,D006623
C0019569,D006627
C0019572,D006628
C0019618,D015614
C0019621,D006646
C0019693,D015658
C0019699,D006679
C0019816,D015417
C0019829,D006689
C0019880,D006712
C0020071,D009477
C0020072,D009477
C0020074,D009477
C0020075,D009477
C0020179,D006816
C0020192,D006819
C0020217,D006828
C0020224,D006831
C0020225,D006832
C0020255,D006849
C0020256,D006849
C0020258,D006850
C0020295,D006869
C0020302,D006871
C0020305,D015160
C0020428,D006929
C0020429,D006930
C0020433,D006932
C0020437,D006934
C0020438,D053565
C0020440,D006935
C0020443,D006937
C0020445,D006938
C0020452,D006940
C0020453,D006941
C0020455,D006942
C0020456,D006943
C0020459,D006946
C0020461,D006947
C0020473,D006949
C0020474,D006950
C0020476,D006951
C0020479,D006952
C0020480,D006953
C0020481,D006954
C0020488,D006955
C0020492,D015576
C0020497,D006958
C0020500,D006959
C0020501,D006960
C0020502,D006961
C0020503,D006962
C0020505,D006963
C0020507,D006965
C0020514,D006966
C0020517,D006967
C0020522,D006968
C0020523,D006969
C0020529,D012891
C0020532,D006971
C0020534,D006972
C0020538,D006973
C0020540,D006974
C0020541,D006975
C0020542,D006976
C0020544,D006977
C0020545,D006978
C0020550,D006980
C0020551,D006981
C0020555,D006983
C0020557,D015228
C0020564,D006984
C0020578,D006985
C0020594,D020018
C0020595,D006994
C0020598,D006996
C0020608,D000848
